"Title: Population Distribution by CitizenshipÂ Status",,,,
"Timeframe: states (2011-2012), U.S. (2012)",,,,
"Notes: See http://kff.org/other/state-indicator/distribution-by-citizenship-status/ for notes and sources.",,,,
Location,Citizen,Non-Citizen,Total
"United States",0.929380153,0.070619525,1
Alabama,0.980215225,0.019784775,1
Alaska,0.958656331,0.041343669,1
Arizona,0.914028181,0.085971819,1
Arkansas,0.965660806,0.034339194,1
California,0.860644829,0.139355171,1
Colorado,0.944232133,0.055767867,1
Connecticut,0.932070319,0.067958127,1
Delaware,0.930597264,0.069402736,1
"District of Columbia",0.90448,0.09552,1
Florida,0.909276597,0.090718153,1
Georgia,0.943543525,0.05644608,1
Hawaii,0.920108532,0.079891468,1
Idaho,0.940755744,0.059180961,1
Illinois,0.920971017,0.079028983,1
Indiana,0.977112121,0.022887879,1
Iowa,0.964672742,0.035327258,1
Kansas,0.956327348,0.043636884,1
Kentucky,0.968227851,0.031772149,1
Louisiana,0.978561858,0.021438142,1
Maine,0.986374586,0.013625414,1
Maryland,0.908470508,0.091512346,1
Massachusetts,0.932651595,0.067363691,1
Michigan,0.967583204,0.032427091,1
Minnesota,0.964490695,0.035509305,1
Mississippi,0.991158054,NSD,1
Missouri,0.985127287,0.014855831,1
Montana,0.985961014,NSD,1
Nebraska,0.937390925,0.062609075,1
Nevada,0.899371069,0.100628931,1
"New Hampshire",0.972854842,0.027145158,1
"New Jersey",0.888767231,0.111232769,1
"New Mexico",0.935153084,0.064846916,1
"New York",0.896810681,0.103194498,1
"North Carolina",0.946507892,0.053502609,1
"North Dakota",0.9830733,0.017073889,1
Ohio,0.97788254,0.02211746,1
Oklahoma,0.970997773,0.028975398,1
Oregon,0.947238978,0.052735133,1
Pennsylvania,0.969346033,0.030646089,1
"Rhode Island",0.928592163,0.071311079,1
"South Carolina",0.973882612,0.026117388,1
"South Dakota",0.978044891,0.021955109,1
Tennessee,0.968770712,0.031229288,1
Texas,0.891312108,0.108687892,1
Utah,0.951991213,0.048008787,1
Vermont,0.982427595,0.017735112,1
Virginia,0.931578215,0.068421785,1
Washington,0.924613279,0.075386721,1
"West Virginia",0.993541264,NSD,1
Wisconsin,0.9722497,0.0277503,1
Wyoming,0.982048574,0.017951426,1
